weights,dates,month,day
222.1,2022-12-29,12,29
218.4,2022-12-30,12,30
218.2,2022-12-31,12,31
219.0,2023-01-01,1,1
217.7,2023-01-02,1,2
219.9,2023-01-03,1,3
218.0,2023-01-04,1,4
218.8,2023-01-05,1,5
218.4,2023-01-06,1,6
218.0,2023-01-07,1,7
218.5,2023-01-08,1,8
217.7,2023-01-09,1,9
220.0,2023-01-10,1,10
217.4,2023-01-11,1,11
219.35,2023-01-12,1,12
217.1,2023-01-13,1,13
217.3,2023-01-14,1,14
219.25,2023-01-15,1,15
221.0,2023-01-16,1,16
221.3,2023-01-17,1,17
220.7,2023-01-18,1,18
218.0,2023-01-19,1,19
215.6,2023-01-20,1,20
218.0,2023-01-21,1,21
217.1,2023-01-22,1,22
218.6,2023-01-23,1,23
219.75,2023-01-24,1,24
220.9,2023-01-25,1,25
220.6,2023-01-26,1,26
219.4,2023-01-27,1,27
219.5,2023-01-28,1,28
219.3,2023-01-29,1,29
216.5,2023-01-30,1,30
219.6,2023-01-31,1,31
218.4,2023-02-01,2,1
221.2,2023-02-02,2,2
222.5,2023-02-03,2,3
219.6,2023-02-04,2,4
219.0,2023-02-05,2,5
222.0,2023-02-06,2,6
219.4,2023-02-07,2,7
219.4,2023-02-08,2,8
222.6,2023-02-09,2,9
222.0,2023-02-10,2,10
221.4,2023-02-11,2,11
224.4,2023-02-12,2,12
224.15,2023-02-13,2,13
223.9,2023-02-14,2,14
225.0,2023-02-15,2,15
226.1,2023-02-16,2,16
225.5,2023-02-17,2,17
223.7,2023-02-18,2,18
223.5,2023-02-19,2,19
223.3,2023-02-20,2,20
221.8,2023-02-21,2,21
222.9,2023-02-22,2,22
222.4,2023-02-23,2,23
219.8,2023-02-24,2,24
218.9,2023-02-25,2,25
218.2,2023-02-26,2,26
217.0,2023-02-27,2,27
220.5,2023-02-28,2,28
218.7,2023-03-01,3,1
218.7,2023-03-02,3,2
219.4,2023-03-03,3,3
220.5,2023-03-04,3,4
219.7,2023-03-05,3,5
221.6,2023-03-06,3,6
221.0,2023-03-07,3,7
221.2,2023-03-08,3,8
222.55,2023-03-09,3,9
222.2,2023-03-10,3,10
221.3,2023-03-11,3,11
218.0,2023-03-12,3,12
223.8,2023-03-13,3,13
223.8,2023-03-14,3,14
223.8,2023-03-15,3,15
219.8,2023-03-16,3,16
221.75,2023-03-17,3,17
223.7,2023-03-18,3,18
222.0,2023-03-19,3,19
222.7,2023-03-20,3,20
221.5,2023-03-21,3,21
222.5,2023-03-22,3,22
221.3,2023-03-23,3,23
221.5,2023-03-24,3,24
222.8,2023-03-25,3,25
222.8,2023-03-26,3,26
222.2,2023-03-27,3,27
223.5,2023-03-28,3,28
221.2,2023-03-29,3,29
222.89999999999998,2023-03-30,3,30
224.6,2023-03-31,3,31
220.7,2023-04-01,4,1
219.9,2023-04-02,4,2
222.4,2023-04-03,4,3
224.4,2023-04-04,4,4
222.2,2023-04-05,4,5
222.5,2023-04-06,4,6
220.5,2023-04-07,4,7
221.2,2023-04-08,4,8
222.075,2023-04-09,4,9
222.95,2023-04-10,4,10
220.6,2023-04-11,4,11
222.5,2023-04-12,4,12
222.5,2023-04-13,4,13
222.4,2023-04-14,4,14
220.3,2023-04-15,4,15
221.9,2023-04-16,4,16
223.1,2023-04-17,4,17
